comment_id,text,author,likes,replies,time,time_parsed
UgzzCH07D8Yk9vZ5J0h4AaABAg,"Hmm semua itu karena elite global, kalo mmg karena pemerintahan dan MBG emang zaman jokowi ga ada korupsi? ada juga sama aja juga isi pemerintahannya MBG juga uangnya mungkin hampir memutar ke kalangan atas dan bawah indonesia kenapa rupiah sangat melemah???, itumah elite global rupiah melemah karena pengaruh elite global lari semua uang indonesia ke luar terus menghilangkan kepercayaan investor2 terhadap indonesia",@xi.ipa5.19muhamadrevilsyap2,0,,3 jam yang lalu,1781349740.006684
Ugw2JX8IFDRYRtEw87F4AaABAg,"Loose lips sink ship. Ini krn regulasi, contoh biarkan Shell, BP, AKR, Exxon impor BBM sendiri agar mengurangi beban Pertamina. Bubarkan Danantara, karena cuma calo. Fakta, saham Garuda diakusisi 93% hasilnya, nyariin leasing Garuda, kerja Wadirut cuma pecat karyawan, Direktur Marketing tidak kompeten, titipan ordal. Malah, now, export sawit, Bbara mau ikut ikut. Kompetensi Rosan cuma staf Bakrie, kita tau lah reputasi nya Bakrie.",@Quest58989,0,,3 hari yang lalu (diedit),1781101340.010939
UgxMnyfDgJ0Ce9lpkzt4AaABAg,rupiah melemah karena sell off rupiah besar besaran oleh singapura,@AdeMarlintonz,0,,3 hari yang lalu,1781101340.010939
UgymulDsyXRc5-N_4vd4AaABAg,"Laporan perusahaan robotech, duit tidak masuk, moderenisasi tidak selesai, internet bermasalah, mobil-mobil tidak ada, motor oke, pindah ke eropa,stop di account youtube",@SamDin-i6c,0,,4 hari yang lalu,1781014940.010939
Ugyduvk7M2LMjiCyPSh4AaABAg,"Labil banget yak, awalnya cm satu orang aja ngomong sell indonesia, beneran se-indonesia jd ruamee, rp anjlok.. stok kopi aman? 😂😂😂",@Brow-b3r,0,,4 hari yang lalu,1781014940.010939
UgxbDmVDpCtFVtK2t6p4AaABAg,"Terimakasih kontennya, sangat edukatif",@thomassteven1575,0,,5 hari yang lalu,1780928540.018137
Ugx5A9ylsek6G18GeDx4AaABAg,Pemerintah nya tuh yg nga becus mengurus negara cuma penting kn diri sendiri saja tdk mikirkan cara nya supaya negara bisa maju tuh gmna cara nya pdhl rakyat sdh byk yg menderita terutama rakyat bawah.,@PainemSinarrizky,0,,8 hari yang lalu,1780669340.021194
UgxuW6vbzLwJIn0r-9N4AaABAg,"😂🤣😂🤣🤣😂🤣  pemerintahan penuh tipu-tipu? 😂😂🤣🤣 adakah sesuatu yang bisa diandalkan dari presiden, DPR, gubernur, DPRD dan bupati semuanya ala Rp.50 K? 😂😂😂🤣🤣 presidennya antek bekas presiden bekas? 😂😂🤣🤣😂 dan tentu saja sejak lama semua sudah dikendalikan asing & aseng? 😂😂😂",@srisuharso323,0,,10 hari yang lalu,1780496540.022796
UgyHH7hOXeeJF6WgqPl4AaABAg,Kyk Ngajarin anak kecil y kooh 🗿🗿 pke nyamain 98 sama yg sekarang. Jelas² suatu asset akan selalu membuat ATH nya seiring waktu.,@dysp205,0,,12 hari yang lalu,1780323740.022796
Ugz860_LwvzckX0uMU14AaABAg,dari salah satu youtuber ada kebijakan Quantitative Easing (QE) sehingga walau bi rate naik tapi rupiah tetap turun terus,@Cafe_Mikrochip,0,,2 minggu yang lalu,1780150940.022796
UgzvCvqnL3IJ4roolYd4AaABAg,INDON tidak kena pajak bro LEON.,@matiusalbert23,0,,2 minggu yang lalu,1780150940.022796
Ugz-CY990Em4ULyodSl4AaABAg,"Indonesia politikus nya nggak pentingin midterm nya,mereka pentingin nanti pas lagi kampanye yaitu mulai tahun ke 5 masa jabatan nya,disitulah mereka caper lagi.Kalau rupiah melemah di tahun ke 5 pemerintahan prabowo,pasti dia gerak cepat supaya di mata masyarakat indonesia dia bisa mengatasi krisis",@stellamanurung519,0,,2 minggu yang lalu,1780150940.022796
Ugx6fjQ1t3reXv88xJh4AaABAg,"Akar masalahnya kebanyakan nonton influencer, ingat saham konglo uda pd nyangkut ritel banyak korban 😂",@JukiAlchemy,0,,2 minggu yang lalu,1780150940.022796
Ugz8-2MkrlLyvWtLbah4AaABAg,Apa karena menkeu menolak meminjam dr IMF makannya idr melemah?,@Jorsky27,0,,2 minggu yang lalu,1780150940.022796
UgwbB7b8agf1N0KXuEV4AaABAg,"jujur ya, kalau lu mau benahi Indo, lu harus flash back apa yg indo sdh tanda tangan. Contoh globalisasi finance. Dgn globalisasi finance, Soros garong duit ke Indo, detik itu juga dollar nya bisa di tarik ke  Amerika. Lu percuma ngomong makro dan mikro kalau infrastruktur finance Indo masih pakai sistem Amerika yg korup.

Gak percaya?

Lu lihat link ini, China di patok 39% dari total ekonomi Amerika dan China dari 2025 - 2028 dan cuma naik 1% di thn 2031.

Yg lain?

a. Currency sumber bloomberg.
1. USA allies
A. UK - 1 USD = 0.74 Pound
B.  Europe, 1 USD = 0. 84 Euro
c. Jordan, 1 USD = 0.70 Jordan dollar
d. Singapore, 1 USD = 1.27 Singapore dollar
e. etc.

2. Non USA allies
1. Iran, 1 USD = 1.3 juta rial
2. Venezuela, 1 USD = 50 juta Bolivar VEF
3. Indonesia, 1 USD = 17.717 Rp dari  1 USD = Rp 5
4. Iran, 1 USD = 1100 dinar dari 1 USD = 0.3 dinar
5. dsb.

B Credit rating berdasarkan Moody's
1. US aliies
a. Amerika, Aa1
b. Inggris,  Aa3
c. Singapore, Aa3
d. Saudi, Aa3
e. dsb

2. Non-USA allies
a. Indonesia, Ba2
b. China, A1
c. Iran, no credit rating
d. Korut, no credit rating
e. Russia, no credit rating
f. dsb

c. Index korupsi berdasarkan Transparency International (TI)
1. USA allies.
a. Amerika, no 29
b. Inggris, no 20
c. Denmark, no 1
d. Singapore, no 3
e. NZ, no 4

2. Non-USA alilies
a. China no 76
b. Indonesia, 109
c. Russia, 157
d. Venezuela, 180
e. dsb",@MichaelRodney-l6h,0,,2 minggu yang lalu,1780150940.022796
Ugw1AfOCvh88vjjP7ap4AaABAg,"Isi pemerintah nya dr DPR, pemerintah, penegak hukum banyak kaum oligarki.cuma mikir diri sendiri",@mrowi-c3t,0,,2 minggu yang lalu,1780150940.037899
UgyxItIdO2DJjPJoc_Z4AaABAg,Bs dilihat indonesia gak maju tetapi malahan melemah.😂,@PejabatKoruptor777,0,,2 minggu yang lalu,1780150940.039058
